,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,streams,danceability,energy,key_y,loudness,mode_y,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature,collaboration,months_before_christmas
359,Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez",2,2022,9,16,222612678,63.6,90.9,0,-3.685,1,4.390000000000001,14.9,0.0,71.89999999999999,61.0,154.189,148.8,4,1,3
360,INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",2,2021,7,23,1814349763,73.6,70.39999999999999,3,-7.409,0,6.15,2.03,0.0,5.01,89.4,149.995,212.0,4,1,5
361,Atlantis,Seafret,1,2015,4,22,571386359,40.0,47.9,8,-7.989,0,3.08,5.29,0.000214,11.5,21.3,166.159,229.173,4,0,8
362,PUNTO 40,"Baby Rasta, Rauw Alejandro",2,2022,9,22,304079786,85.7,82.89999999999999,0,-0.484,1,8.42,0.1119999999999999,1.5,25.5,20.8,106.993,190.654,4,1,3
363,Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",3,2022,9,9,174006928,87.2,51.9,7,-4.467,1,24.4,30.6,0.0,27.6,52.0,86.768,107.077,5,1,3
364,How Do I Say Goodbye,Dean Lewis,1,2022,8,5,284785823,40.0,64.1,8,-6.303,1,6.74,21.4,0.0,6.5600000000000005,39.3,81.552,163.603,4,0,4
365,Blind,SZA,1,2022,12,9,163284000,46.1,27.9,9,-11.776,0,3.73,91.1,0.0,20.5,59.9,114.225,150.72,4,0,0
366,Die For You,Joji,1,2022,11,4,246390068,47.2,51.8,8,-7.379,1,5.1,38.3,12.7,28.9,15.4,147.805,211.667,4,0,1
367,Doja,Central Cee,1,2022,7,20,482257456,91.1,57.3,6,-7.43,1,28.8,38.0,0.0,40.3,97.2,140.04,97.393,4,0,5
368,Gatita,Bellakath,1,2022,10,3,168684524,89.5,84.7,7,-5.25,1,5.19,16.0,22.3,33.800000000000004,73.5,101.006,153.06300000000002,4,0,2
369,Rumble,"Skrillex, Flowdan, Fred again..",3,2022,1,17,78489819,81.0,83.6,1,-7.721,0,6.45,5.15,22.9,5.98,5.8500000000000005,139.979,146.571,4,1,11
370,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,2022,12,2,195516622,66.7,64.8,2,-5.117,1,28.4,17.5,0.0155,14.7,25.4,87.975,207.307,4,1,0
371,Yonaguni,Bad Bunny,1,2021,6,4,1260594497,64.4,64.8,1,-4.601,1,11.8,27.6,0.0,13.5,44.0,179.951,206.71,4,0,6
372,Super Freaky Girl,Nicki Minaj,1,2022,8,12,428685680,95.1,87.8,2,-2.565,1,21.1,5.09,0.0016099999999999,32.1,92.3,133.014,170.977,4,0,4
373,Running Up That Hill (A Deal With God),Kate Bush,1,1985,9,16,1024858327,62.9,54.50000000000001,10,-13.123,0,5.46,71.89999999999999,0.308,6.04,19.4,108.376,298.933,4,0,3
374,Dream On,Aerosmith,1,1973,1,5,838586769,39.2,47.6,1,-7.583,1,2.49,39.7,0.0163,30.9,23.4,78.031,267.597,4,0,11
375,Limbo,Freddie Dredd,1,2022,8,11,199386237,80.2,62.3,11,-5.862,0,45.9,2.92,5.5,11.3,45.7,74.987,169.947,4,0,4
376,Where Are You Now,"Lost Frequencies, Calum Scott",2,2021,7,30,972509632,76.2,63.2,6,-8.312,0,8.5,51.0,0.0205,18.0,28.2,121.031,149.067,4,1,5
377,WORTH NOTHING,"Twisted, Oliver Tree",2,2022,9,28,213438580,60.4,60.1,2,-7.887,0,6.279999999999999,15.0,0.0579,16.8,15.6,139.88,164.629,4,1,3
378,Bad Habits,Ed Sheeran,1,2020,9,3,1555511105,80.7,89.3,11,-3.745,0,3.47,4.51,0.00279,36.6,53.7,126.011,230.747,4,0,3
379,KICK BACK,Kenshi Yonezu,1,2022,10,12,210038833,57.7,94.1,1,-5.17,1,10.5,0.207,0.000336,8.91,29.2,101.921,193.495,4,0,2
380,Good Days,SZA,1,2020,12,24,826623384,46.1,65.10000000000001,1,-8.81,0,5.680000000000001,41.8,0.00126,78.2,38.3,121.07,278.48,4,0,0
381,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,2020,3,27,1802514301,70.19999999999999,82.5,6,-3.787,0,6.01,0.8829999999999999,0.0,6.74,91.5,102.977,203.064,4,1,9
382,Woman,Doja Cat,1,2021,6,25,1329090101,82.39999999999999,76.4,5,-4.175,0,8.540000000000001,8.88,0.294,11.7,88.1,107.998,172.627,4,0,6
383,Shut up My Moms Calling - (Sped Up),Hotel Ugly,1,2022,9,14,181831132,65.3,47.4,5,-10.899,0,10.3,31.2,0.000665,11.9,36.1,85.024,135.529,4,0,3
384,Ferrari,"James Hype, Miggy Dela Rosa",2,2022,3,14,462791599,84.7,69.0,1,-7.877,0,4.93,1.27,0.006,5.26,69.19999999999999,125.004,186.662,4,1,9
